id,categorie,marque,nom,description,genre,tailles,couleur,annee_modele,etat,prix_ttc_eur,prix_solde_eur,taux_remise_pct,disponibilite,nouveaute,mise_en_avant,url_fabricant,images
BR-001,VTT,Scott,Spark 970,"VTT tout-suspendu 29 pouces, cadre aluminium, 130 mm de débattement, SRAM NX Eagle 12 vitesses. Fin de série.",Mixte,S à XL,Vert profond,2024,Neuf,3199.00,2559.00,20,En stock,non,oui,,assets/images/products/BR-001-1.webp;assets/images/products/BR-001-2.webp;assets/images/products/BR-001-3.webp
BR-002,VTT,Scott,Spark RC Comp,"Tout-suspendu cross-country 29 pouces, cadre carbone, 120 mm, prêt pour la compétition.",Mixte,S à XL,Blanc brillant,2025,Neuf,4599.00,,,Sur commande,oui,non,,assets/images/products/BR-002-1.webp;assets/images/products/BR-002-2.webp
BR-003,VTT,Scott,Scale 970,"VTT semi-rigide 29 pouces, cadre aluminium, fourche 100 mm, Shimano Deore 12 vitesses.",Mixte,S à XL,Gris anthracite,2025,Neuf,1199.00,,,En stock,non,non,,assets/images/products/BR-003-1.webp;assets/images/products/BR-003-2.webp
BR-004,VTT,Scott,Aspect 940,"VTT semi-rigide 29 pouces polyvalent, idéal pour les chemins du bocage virois.",Mixte,S à XL,Bleu nuit,2025,Neuf,849.00,,,En stock,non,non,,assets/images/products/BR-004-1.webp;assets/images/products/BR-004-2.webp;assets/images/products/BR-004-3.webp
BR-005,VTT,Lapierre,Edge 5.7,"VTT semi-rigide 29 pouces, transmission Shimano Deore. Occasion révisée en atelier.",Mixte,Taille M,Noir mat,2023,Occasion,599.00,,,En stock,non,non,,
BR-006,Vélo course,Scott,Addict RC 30,"Vélo de route carbone haut de gamme, Shimano Ultegra Di2 12 vitesses, 7,6 kg.",Mixte,49 à 58,Noir et or,2025,Neuf,4999.00,,,Sur commande,oui,oui,,assets/images/products/BR-006-1.webp;assets/images/products/BR-006-2.webp
BR-007,Vélo course,Scott,Addict 30,"Vélo de route carbone endurance, Shimano 105, confort et rendement.",Mixte,49 à 58,Gris perle,2025,Neuf,2799.00,,,En stock,non,non,,assets/images/products/BR-007-1.webp;assets/images/products/BR-007-2.webp;assets/images/products/BR-007-3.webp
BR-008,Vélo course,Scott,Foil RC 30,"Vélo aérodynamique carbone, Shimano Ultegra Di2, taillé pour la vitesse.",Mixte,52 à 58,Noir brillant,2025,Neuf,5999.00,,,Sur commande,non,non,,assets/images/products/BR-008-1.webp;assets/images/products/BR-008-2.webp;assets/images/products/BR-008-3.webp
BR-009,Vélo course,Cube,Attain GTC Race,"Vélo de route endurance carbone, Shimano 105, pour les longues sorties.",Mixte,50 à 58,Rouge carmin,2024,Neuf,1799.00,,,En stock,non,non,,
BR-010,Gravel,Scott,Speedster Gravel 30,"Gravel aluminium, Shimano GRX, pneus de 40 mm, à l'aise sur route comme sur chemins.",Mixte,XS à XL,Vert kaki,2025,Neuf,1699.00,,,En stock,non,non,,assets/images/products/BR-010-1.webp;assets/images/products/BR-010-2.webp;assets/images/products/BR-010-3.webp
